District,S.No.,Parameters,Type,April,May,June,July,August,September,October,November,December,January,February,March,Total
Ariyalur,1.1,Total number of pregnant women Registered for ANC,TOTAL,1124,1111,1131,1056,1103,1059,1115,1130,1036,1095,1065,1192,13217
Ariyalur,1.1.1,Of which Number registered within first trimester (within 12 weeks),TOTAL,977,954,974,888,956,908,972,982,936,961,939,986,11433
Ariyalur,1.2,Number of Pregnant women registered under JSY,TOTAL,355,401,487,522,401,429,423,407,421,436,420,564,5266
Ariyalur,1.3,Number of pregnant women received 3 ANC check ups during pregnancy,TOTAL,1069,1062,1033,1006,1000,979,1096,1069,1075,1002,1005,1196,12592
Ariyalur,1.4.1,Number of pregnant women given TT1 during current pregnancy,TOTAL,790,791,801,769,726,729,761,812,744,713,696,610,8942
Ariyalur,1.4.2,Number of pregnant women given TT2 or Booster during current pregnancy,TOTAL,1067,1104,1112,1076,1030,1065,1115,1078,1028,974,964,891,12504
Ariyalur,1.5,Total number of pregnant women given 100 IFA tablets,TOTAL,465,583,516,527,581,622,633,658,645,638,585,576,7029
Ariyalur,1.6.1,Number of new cases of Hypertension (BP>140/90) detected in Pregnant women at the institution,TOTAL,5,7,6,115,NA,46,7,17,11,10,118,4,346
Ariyalur,1.6.2,Number of Eclampsia cases managed during delivery,TOTAL,1,NA,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,2
Ariyalur,1.7.1,Number of Pregnant women with anaemia i.e. Hb level<11 (tested cases),TOTAL,1071,1105,1150,1050,1110,1052,1166,1112,1036,1059,1095,1186,13192
Ariyalur,1.7.2,Number of Pregnant women having severe anaemia (Hb<7) treated at institution,TOTAL,23,8,27,90,95,55,22,11,30,4,5,5,375
Ariyalur,1.8,Number of pregnancy test kits used at SC level,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ariyalur,2.1.1.a,Number of deliveries conducted at Home and attended by trained SBA(i.e. Doctor or Nurse or ANM),TOTAL,NA,NA,NA,NA,NA,NA,NA,1,NA,1,NA,NA,2
Ariyalur,2.1.1.b,Number of deliveries conducted at Home and attended by non trained SBA (i.e. trained TBA or Relatives etc.),TOTAL,NA,NA,NA,NA,NA,2,NA,NA,1,NA,NA,2,5
Ariyalur,2.1.1.c,Total number of deliveries conducted at Home and attended by trained or non-trained SBA (i.e. sum of 2.1.1.a and 2.1.1.b),TOTAL,NA,NA,NA,NA,NA,2,NA,1,1,1,NA,2,7
Ariyalur,2.1.2,Number of newborns visited within 24 hours of delivery for deliveries conducted at home,TOTAL,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,1,3
Ariyalur,2.1.3,Number of mothers paid JSY incentive for deliveries conducted at home,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ariyalur,2.2,Deliveries conducted at Public Institutions (Including C-Sections),TOTAL,582,653,773,700,779,706,752,843,691,600,592,649,8320
Ariyalur,2.2.1,"Out of 2.2, Number discharged under 48 hours of delivery",TOTAL,120,110,146,NA,111,118,76,148,154,108,43,74,1208
Ariyalur,2.2.2.a,Number of mothers paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,69,106,99,116,74,148,112,75,149,87,70,138,1243
Ariyalur,2.2.2.b,Number of ASHAs paid JSY Incentive for deliveries conducted at Public Institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ariyalur,2.2.2.c,Number of cases of deliveries conducted at Public Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ariyalur,2.3,Deliveries conducted at Private Institutions (Including C-Sections),TOTAL,259,243,259,239,304,262,289,313,255,216,198,286,3123
Ariyalur,2.3.1.a,Number of mothers paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,17,6,9,NA,NA,NA,4,NA,33,NA,NA,NA,69
Ariyalur,2.3.1.b,Number of ASHAs paid JSY Incentive for deliveries conducted at accredited Private Institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ariyalur,2.3.1.c,Number of cases of deliveries conducted at accredited Private Institutions where JSY incentive was paid to ANMs or AWWs [only for High Performing States (HPS)],TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ariyalur,3.1.1,Number of Caesarean (C-Section) deliveries performed at PHCs (Primary Health Centre),TOTAL,2,5,7,10,8,NA,NA,NA,1,NA,NA,NA,33
Ariyalur,3.1.2,Number of Caesarean (C-Section) deliveries performed at CHCs (Community Health Centre),TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ariyalur,3.1.3,Number of Caesarean (C-Section) deliveries performed at SDHs (Sub-divisional Hospital) or DHs (District Hospital),TOTAL,118,205,191,209,229,229,266,242,231,167,175,228,2490
Ariyalur,3.1.4,Number of Caesarean (C-Section) deliveries performed at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ariyalur,3.1.5,"Total Number of Caesarean (C-Section) deliveries performed at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 3.1.1 to 3.1.4)",TOTAL,120,210,198,219,237,229,266,242,232,167,175,228,2523
Ariyalur,3.2,No. of C-section deliveries performed at Private facilities,TOTAL,NA,NA,NA,NA,82,30,83,81,70,81,92,125,644
Ariyalur,4.1.1.a,Number of male live births,TOTAL,450,488,517,448,559,518,568,558,508,428,424,536,6002
Ariyalur,4.1.1.b,Number of female live births,TOTAL,381,403,507,484,518,446,493,599,441,390,366,432,5460
Ariyalur,4.1.1.c,Total number of male and female live births (4.1.1.a and 4.1.1.b),TOTAL,831,891,1024,932,1077,964,1061,1157,949,818,790,968,11462
Ariyalur,4.1.2,Number of still births,TOTAL,10,6,9,7,6,12,13,8,12,7,14,11,115
Ariyalur,4.1.3,Number of Abortions (spontaneous or induced),TOTAL,75,60,79,69,91,62,83,93,98,84,106,108,1008
Ariyalur,4.2.1,Number of Newborns weighed at birth,TOTAL,830,891,1018,925,1072,964,1058,NA,934,808,790,958,10248
Ariyalur,4.2.2,Number of Newborns having weight less than 2.5 kg,TOTAL,67,46,60,50,48,74,76,75,77,52,66,70,761
Ariyalur,4.3,Number of Newborns breast fed within 1 hour of birth,TOTAL,626,700,782,728,845,728,727,824,706,649,656,769,8740
Ariyalur,5.1.1,Number of cases of pregnant women with Obstetric Complications and attended at PHCs,TOTAL,31,35,62,45,52,48,38,50,62,21,25,46,515
Ariyalur,5.1.2,Number of cases of pregnant women with Obstetric Complications and attended at CHCs,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ariyalur,5.1.3,Number of cases of pregnant women with Obstetric Complications and attended at SDHs or DHs,TOTAL,138,150,172,206,129,204,232,194,237,205,189,244,2300
Ariyalur,5.1.4,Number of cases of pregnant women with Obstetric Complications and attended at other State owned public institutions,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ariyalur,5.1.5,"Number of cases of pregnant women with Obstetric Complications and attended at Public facilities i.e. PHC, CHC, SDH, DH and other State owned public institutions (sum of items from 5.1.1 to 5.1.4)",TOTAL,169,185,234,251,181,252,270,244,299,226,214,290,2815
Ariyalur,5.2,Number of cases of pregnant women with Obstetric Complications and attended at Private facilities,TOTAL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Ariyalur,5.3.1,Number of cases of complicated pregnancies treated with IV antibiotics,TOTAL,60,63,80,143,163,194,36,44,50,47,47,41,968
Ariyalur,5.3.2,Number of cases of complicated pregnancies treated with IV Antihypertensive/Magsulph injection,TOTAL,20,4,3,1,NA,NA,NA,NA,NA,3,NA,2,33
